#skill								TUD					type側			
No	Code	Sort	大分類	Code	Sort	小分類	対象外	TUDでの連携案	大分類	中分類	小分類	メモ	スキルカテゴリ	スキル大分類	中分類	小分類
103	Grp1	103	技術系（システム・ネットワーク）	103	103	C		◯	技術系（システム・ネットワーク）	プログラミング	C		ITエンジニア関連職種	開発環境	言語	C
104	Grp1	104	技術系（システム・ネットワーク）	104	104	C#		◯	技術系（システム・ネットワーク）		C#		ITエンジニア関連職種	開発環境	言語	C#
105	Grp1	105	技術系（システム・ネットワーク）	105	105	C++		◯	技術系（システム・ネットワーク）	プログラミング	C++		ITエンジニア関連職種	開発環境	言語	C++
106		0		106	0	Clojure	対象外	×			Clojure		ITエンジニア関連職種	開発環境	言語	Clojure
107		0		107	0	CoffeeScript	対象外	×			CoffeeScript		ITエンジニア関連職種	開発環境	言語	CoffeeScript
108	Grp1	108	技術系（システム・ネットワーク）	108	108	CSS		◯	技術系（システム・ネットワーク）	プログラミング	CSS		ITエンジニア関連職種	開発環境	言語	CSS
109		0		109	0	Curl	対象外	×			Curl		ITエンジニア関連職種	開発環境	言語	Curl
110		0		110	0	Dart	対象外	×			Dart		ITエンジニア関連職種	開発環境	言語	Dart
111		0		111	0	Delphi	対象外	×			Delphi		ITエンジニア関連職種	開発環境	言語	Delphi
112		0		112	0	Elixir	対象外	×			Elixir		ITエンジニア関連職種	開発環境	言語	Elixir
113		0		113	0	Erlang	対象外	×			Erlang		ITエンジニア関連職種	開発環境	言語	Erlang
114		0		114	0	F#	対象外	×			F#		ITエンジニア関連職種	開発環境	言語	F#
115	Grp1	115	技術系（システム・ネットワーク）	115	115	Go		◯	技術系（システム・ネットワーク）	プログラミング	Go		ITエンジニア関連職種	開発環境	言語	Go
116		0		116	0	Groovy	対象外	×			Groovy		ITエンジニア関連職種	開発環境	言語	Groovy
117		0		117	0	Hack	対象外	×			Hack		ITエンジニア関連職種	開発環境	言語	Hack
118		0		118	0	Haml	対象外	×			Haml		ITエンジニア関連職種	開発環境	言語	Haml
119		0		119	0	Haskell	対象外	×			Haskell		ITエンジニア関連職種	開発環境	言語	Haskell
120	Grp1	120	技術系（システム・ネットワーク）	120	120	HTML		◯	技術系（システム・ネットワーク）	プログラミング	HTML		ITエンジニア関連職種	開発環境	言語	HTML
121	Grp1	121	技術系（システム・ネットワーク）	121	121	Java		◯	技術系（システム・ネットワーク）	プログラミング	Java		ITエンジニア関連職種	開発環境	言語	Java
122	Grp1	122	技術系（システム・ネットワーク）	122	122	JavaScript		◯	技術系（システム・ネットワーク）	プログラミング	JavaScript		ITエンジニア関連職種	開発環境	言語	JavaScript
123		0		123	0	JSP	対象外	×			JSP		ITエンジニア関連職種	開発環境	言語	JSP
124	Grp1	124	技術系（システム・ネットワーク）	124	124	Kotlin		◯	技術系（システム・ネットワーク）	プログラミング	Kotlin		ITエンジニア関連職種	開発環境	言語	Kotlin
125		0		125	0	LISP	対象外	×			LISP		ITエンジニア関連職種	開発環境	言語	LISP
126		0		126	0	Lua	対象外	×			Lua		ITエンジニア関連職種	開発環境	言語	Lua
127		0		127	0	Mathematica	対象外	×			Mathematica		ITエンジニア関連職種	開発環境	言語	Mathematica
128		0		128	0	Nim	対象外	×			Nim		ITエンジニア関連職種	開発環境	言語	Nim
129	Grp1	129	技術系（システム・ネットワーク）	129	129	Node.js		◯	技術系（システム・ネットワーク）	プログラミング	Node.js		ITエンジニア関連職種	開発環境	言語	Node.js
